draw_date,num1,num2,num3,num4,num5,special
2016-07-28,4,22,29,31,32,
2016-07-29,15,20,30,33,42,
2016-07-30,2,13,35,37,41,
2016-07-31,9,13,14,21,29,
2016-08-01,1,8,20,23,39,
2016-08-02,8,15,21,28,42,
2016-08-03,2,9,10,15,27,
2016-08-04,1,3,7,11,28,
2016-08-05,20,23,24,35,42,
2016-08-06,12,18,26,31,36,
2016-08-07,9,15,17,26,29,
2016-08-08,2,7,9,15,24,
2016-08-09,2,4,18,24,39,
2016-08-10,4,6,7,29,42,
2016-08-11,20,21,24,28,42,
2016-08-12,19,20,28,30,42,
2016-08-13,14,17,30,37,40,
2016-08-14,2,4,21,32,39,
2016-08-15,13,15,34,38,41,
2016-08-16,1,4,19,35,41,
2016-08-17,2,3,5,10,27,
2016-08-18,4,7,8,28,32,
2016-08-19,6,31,33,34,36,
2016-08-20,14,17,27,29,31,
2016-08-21,6,18,21,27,41,
2016-08-22,1,13,14,36,37,
2016-08-23,13,15,21,29,41,
2016-08-24,19,35,36,40,41,
2016-08-25,8,9,16,17,29,
2016-08-26,8,13,16,17,31,
2016-08-27,2,10,13,34,40,
2016-08-28,1,3,4,38,40,
2016-08-29,5,15,20,24,35,
2016-08-30,3,13,14,22,37,
2016-08-31,1,6,24,25,42,
2016-09-01,5,6,18,33,34,
2016-09-02,3,8,12,13,35,
2016-09-03,4,9,15,20,30,
2016-09-04,5,10,25,38,42,
2016-09-05,3,18,22,27,32,
2016-09-06,5,9,28,33,37,
2016-09-07,10,39,40,41,42,
2016-09-08,3,9,24,31,33,
2016-09-09,1,7,15,26,41,
2016-09-10,8,24,30,31,42,
2016-09-11,1,13,16,23,34,
2016-09-12,9,25,28,34,36,
2016-09-13,3,8,29,36,37,
2016-09-14,2,5,27,28,42,
2016-09-15,10,15,34,35,36,
2016-09-16,3,7,12,22,24,
2016-09-17,6,9,18,37,40,
2016-09-18,3,12,25,27,34,
2016-09-19,11,18,21,27,36,
2016-09-20,4,10,11,21,39,
2016-09-21,10,22,25,35,38,
2016-09-22,21,24,25,28,37,
2016-09-23,2,4,5,10,39,
2016-09-24,11,15,31,35,38,
2016-09-25,2,3,27,35,40,
2016-09-26,5,13,15,30,42,
2016-09-27,5,7,13,28,29,
2016-09-28,5,8,29,30,38,
2016-09-29,6,13,19,37,42,
2016-09-30,4,9,17,30,41,
2016-10-01,11,19,31,36,41,
2016-10-02,8,11,17,36,40,
2016-10-03,16,20,31,36,37,
2016-10-04,25,30,34,40,42,
2016-10-05,27,30,33,35,41,
2016-10-06,3,8,12,24,32,
2016-10-07,21,23,30,33,39,
2016-10-08,11,18,19,31,41,
2016-10-09,6,12,15,25,27,
2016-10-10,2,22,27,32,38,
2016-10-11,6,18,23,26,35,
2016-10-12,2,12,25,34,35,
2016-10-13,7,20,21,26,40,
2016-10-14,1,4,20,28,37,
2016-10-15,9,10,13,15,31,
2016-10-16,19,21,27,29,33,
2016-10-17,2,5,8,27,38,
2016-10-18,9,17,19,20,37,
2016-10-19,8,18,21,39,41,
2016-10-20,2,6,10,25,27,
2016-10-21,11,12,13,38,42,
2016-10-22,12,22,25,26,30,
2016-10-23,1,2,12,33,41,
2016-10-24,19,24,27,38,41,
2016-10-25,11,20,24,26,31,
2016-10-26,11,14,23,27,31,
2016-10-27,16,28,31,35,42,
2016-10-28,7,14,16,23,39,
2016-10-29,17,18,20,41,42,
2016-10-30,1,6,9,13,35,
2016-10-31,1,3,13,29,30,
2016-11-01,1,4,5,14,37,
2016-11-02,13,18,21,27,35,
2016-11-03,10,19,21,28,38,
2016-11-04,18,19,23,30,36,
2016-11-05,14,19,27,29,38,
2016-11-06,1,26,27,38,39,
2016-11-07,11,23,25,29,36,
2016-11-08,10,11,21,26,41,
2016-11-09,17,18,26,28,33,
2016-11-10,9,11,17,23,34,
2016-11-11,22,23,26,27,40,
2016-11-12,2,15,30,38,41,
2016-11-13,13,19,20,26,38,
2016-11-14,1,8,15,23,38,
2016-11-15,8,13,16,33,36,
2016-11-16,1,20,30,32,39,
2016-11-17,4,9,23,26,38,
2016-11-18,4,5,19,38,39,
2016-11-19,3,13,14,15,40,
2016-11-20,9,10,22,27,36,
2016-11-21,12,13,19,21,34,
2016-11-22,4,6,19,27,31,
2016-11-23,3,21,23,28,42,
2016-11-24,3,15,31,35,38,
2016-11-25,5,8,12,26,32,
2016-11-26,2,9,12,35,36,
2016-11-27,5,8,13,26,36,
2016-11-28,3,26,29,34,39,
2016-11-29,6,12,15,30,34,
2016-11-30,20,26,29,37,41,
2016-12-01,8,23,27,30,37,
2016-12-02,22,31,37,38,40,
2016-12-03,3,13,19,23,27,
2016-12-04,5,7,15,27,36,
2016-12-05,2,5,15,35,40,
2016-12-06,1,2,13,24,42,
2016-12-07,13,20,21,29,35,
2016-12-08,6,12,25,29,34,
2016-12-09,20,27,32,37,40,
2016-12-10,8,11,27,34,38,
2016-12-11,3,9,20,22,25,
2016-12-12,6,17,22,32,41,
2016-12-13,1,11,17,23,36,
2016-12-14,6,11,14,24,35,
2016-12-15,9,25,35,36,42,
2016-12-16,5,17,20,38,40,
2016-12-17,1,3,8,22,30,
2016-12-18,3,8,19,25,40,
2016-12-19,2,4,12,39,42,
2016-12-20,4,18,24,32,37,
2016-12-21,14,21,24,26,28,
2016-12-22,5,12,23,30,34,
2016-12-23,2,12,17,20,41,
2016-12-24,8,19,26,30,39,
2016-12-25,1,8,12,27,34,
2016-12-26,14,15,18,30,37,
2016-12-27,1,6,16,19,20,
2016-12-28,16,33,37,39,40,
2016-12-29,13,20,21,24,34,
2016-12-30,6,14,16,17,27,
2016-12-31,13,17,26,32,33,
2017-01-01,5,11,19,20,28,
2017-01-02,6,30,32,38,42,
2017-01-03,2,16,20,25,37,
2017-01-04,7,16,19,25,29,
2017-01-05,11,12,16,17,19,
2017-01-06,11,12,17,33,35,
2017-01-07,4,33,40,41,42,
2017-01-08,5,13,14,25,35,
2017-01-09,8,11,15,18,41,
2017-01-10,12,15,18,30,38,
2017-01-11,2,13,21,35,36,
2017-01-12,7,18,20,27,34,
2017-01-13,6,12,29,33,38,
2017-01-14,3,10,21,29,32,
2017-01-15,4,5,8,13,29,
2017-01-16,1,4,11,14,15,
2017-01-17,3,9,10,16,33,
2017-01-18,21,26,29,30,33,
2017-01-19,4,22,25,29,37,
2017-01-20,9,11,20,39,40,
2017-01-21,6,9,22,26,38,
2017-01-22,5,22,25,29,37,
2017-01-23,13,14,19,22,25,
2017-01-24,9,13,15,26,40,
2017-01-25,19,20,26,30,42,
2017-01-26,1,15,30,38,41,
2017-01-27,8,14,34,35,36,
2017-01-28,16,22,26,27,41,
2017-01-29,3,7,22,33,42,
2017-01-30,12,15,22,35,37,
2017-01-31,6,27,30,35,36,
2017-02-01,3,18,21,39,40,
2017-02-02,7,11,12,28,29,
2017-02-03,10,11,17,34,35,
2017-02-04,2,13,26,33,34,
2017-02-05,5,11,16,18,41,
2017-02-06,2,24,28,33,39,
2017-02-07,2,16,25,27,37,
2017-02-08,3,14,21,22,35,
2017-02-09,1,6,15,33,35,
2017-02-10,3,11,25,33,42,
2017-02-11,2,28,30,33,39,
2017-02-12,20,26,27,32,40,
2017-02-13,13,15,29,36,42,
2017-02-14,5,6,7,23,32,
2017-02-15,5,6,19,28,37,
2017-02-16,8,11,12,18,42,
2017-02-17,1,10,18,20,28,
2017-02-18,2,3,9,23,27,
2017-02-19,2,12,19,25,26,
2017-02-20,1,17,20,40,42,
2017-02-21,13,25,33,36,37,
2017-02-22,5,9,16,33,37,
2017-02-23,2,26,30,39,42,
2017-02-24,8,28,33,35,38,
2017-02-25,7,12,15,27,28,
2017-02-26,2,3,6,29,35,
2017-02-27,2,26,35,40,41,
2017-02-28,3,9,12,26,30,
2017-03-01,9,10,12,37,38,
2017-03-02,3,13,16,34,35,
2017-03-03,8,24,26,31,32,
2017-03-04,12,14,20,30,37,
2017-03-05,2,8,16,33,35,
2017-03-06,8,11,16,40,42,
2017-03-07,7,11,19,20,27,
2017-03-08,8,11,13,32,37,
